"It is not yet possible to use this service for your order. We are working to make this new service available in other cities.","Il n'est pas encore possible d'utiliser ce service pour votre commande, nous travaillons en ce moment pour permettre à de nouvelles villes de bénéficier de ce nouveau service.",module,Chronopost_Chronorelais
"The pick-up point does not exist.","Le point relais n'existe pas.",module,Chronopost_Chronorelais
"There is no pick-up for this address","Pas de point relais disponible pour cette adresse",module,Chronopost_Chronorelais
"Please enter your account number and password","Veuillez saisir votre numéro de compte et mot de passe",module,Chronopost_Chronorelais
"Please enter the addresses below","Veuillez renseigner les adresses ci-dessous",module,Chronopost_Chronorelais
"Print labels","Impression des étiquettes",module,Chronopost_Chronorelais
"Import a list of parcel numbers","Importer une liste de numéros de colis",module,Chronopost_Chronorelais
"Export to ChronoShip Station","Exporter vers ChronoShip Station",module,Chronopost_Chronorelais
"End of day slip","Bordereau de fin de journée",module,Chronopost_Chronorelais
"Hello, <br />You will soon be using Chronopost to send an item. The person who sent you this email has already prepared the waybill that you will use. Once it has been printed, put the waybill into an adhesive pouch and affix it to your shipment. Make sure the barcode is clearly visible.<br />Kind regards,","Bonjour, <br />Vous allez bientôt effectuer un envoi Chronopost. La personne qui vous a adressé ce mail a déjà préparé la lettre de transport que vous utiliserez. Après impression, apposez la lettre de transport dans une pochette plastique adhésive et collez la sur votre envoi. Attention le code à barres doit être bien apparent.<br />Cordialement,",module,Chronopost_Chronorelais
"The return label has been sent to the customer.","L'etiquette de retour a bien été envoyée au client.",module,Chronopost_Chronorelais
"Please install Ghostscript on your server for bulk printing","Veuillez installer Ghostscript sur voter serveur pour pouvoir imprimer en masse",module,Chronopost_Chronorelais
"Delivery option not Chronopost for order %1","Mode de livraison non chronopost pour la commande %1",module,Chronopost_Chronorelais
"This order contains several shipments, click the link to obtain the labels","Cette commande contient plusieurs expéditions, cliquez sur chaque lien pour obtenir les étiquettes",module,Chronopost_Chronorelais
"A system error has occurred","Une erreur système est survenue",module,Chronopost_Chronorelais
"The parcel’s parameters do not fall within the scope of the the contract passed or it has not yet been registered in the Chronopost tracking system","le colis n'appartient pas au contrat passé en paramètre ou n'a pas encore été enregistré dans le système de tracking Chronopost"
"The parcel cannot be cancelled because it has been dispatched by Chronopost","Le colis ne peut être pas annulé car il a été pris en charge par Chronopost",module,Chronopost_Chronorelais
"An error occurred while deleting labels %1: %2.","Erreur lors de la suppression de l'étiquettes %1 : %2.",module,Chronopost_Chronorelais
"Sorry, an error occurred while deleting label %1. Please contact Chronopost or try again later","Désolé, une erreur est survenu lors de la suppression de l'étiquette %1. Merci de contacter Chronopost ou de réessayer plus tard",module,Chronopost_Chronorelais
"%1 shipping labels have been cancelled.","%1 étiquettes de transport ont bien été annulées.",module,Chronopost_Chronorelais
"%1 shipping label has been cancelled.","%1 étiquette de transport a bien été annulée.",module,Chronopost_Chronorelais
"%1 return shipping labels have been cancelled.","%1 étiquettes de retour transport ont bien été annulées.",module,Chronopost_Chronorelais
"%1 return shipping label has been cancelled.","%1 étiquette de retour transport a bien été annulée.",module,Chronopost_Chronorelais
"Please enter a title for the tracking","Veuillez saisir un titre pour le tracking",module,Chronopost_Chronorelais
"The parcels have been imported","Les colis ont bien été importés",module,Chronopost_Chronorelais
"Please select a file","Veuillez choisir un fichier",module,Chronopost_Chronorelais
"The line format %1 is invalid","Le format de la ligne %1 est invalide",module,Chronopost_Chronorelais
"The order %1 does not exist","La commande %1 n'existe pas",module,Chronopost_Chronorelais
"The shipment with the number %1 has been created for order %2","L'expédition avec le numéro %1 a été créée pour la commande %2",module,Chronopost_Chronorelais
"Check my login details","Vérifier mes identifiants",module,Chronopost_Chronorelais
"Date","Date",module,Chronopost_Chronorelais
"Time","Heure",module,Chronopost_Chronorelais
"Reset","Reset",module,Chronopost_Chronorelais
"Import","Importer",module,Chronopost_Chronorelais
"Import a list of parcel numbers","Importer une liste de numéros de colis",module,Chronopost_Chronorelais
"Tracking title","Titre tracking",module,Chronopost_Chronorelais
"Chronopost - Chronopost express home deliveries","Chronopost - Chronopost livraison express à domicile",module,Chronopost_Chronorelais
"Import file","Fichier import",module,Chronopost_Chronorelais
"Line format: Order_id","Format ligne : Order_id,Numéro de tracking",module,Chronopost_Chronorelais
"You can't create a shipment.","Vous ne pouvez pas créer d'expédition",module,Chronopost_Chronorelais
"Returns are not available for the delivery option %1","Les retours ne sont pas disponibles pour le mode de livraison %1",module,Chronopost_Chronorelais
"Returns are only available for France","Les retours sont disponibles uniquement pour la France",module,Chronopost_Chronorelais
"Please select an appointment date","Veuillez sélectionner une date de rendez-vous",module,Chronopost_Chronorelais
"Select a pick-up point","Veuilez sélectionner un point relais",module,Chronopost_Chronorelais
"After-sales return","Retour SAV",module,Chronopost_Chronorelais
"Delivery by appointment:","Livraison sur rendez-vous :",module,Chronopost_Chronorelais
"Pick-up point:","Point Relais :",module,Chronopost_Chronorelais
"Select a date and a time slot below:","Sélectionnez une date et un créneau horaire ci-dessous :",module,Chronopost_Chronorelais
"not available","non disponible",module,Chronopost_Chronorelais
"Loading map...","Chargement de la map...",module,Chronopost_Chronorelais
"Please select one of the %1 Pickup Points affich&eacute;s below to which the parcel will be delivered.","Veuillez choisir parmi les %1 relais Pickup affich&eacute;s ci-dessous celui qui servira d'adresse de livraison.",module,Chronopost_Chronorelais
"The nearest pick-up points","Les points relais les plus proches",module,Chronopost_Chronorelais
"Mrs.","Madame",module,Chronopost_Chronorelais
"Miss","Mademoiselle",module,Chronopost_Chronorelais
"Mr","Monsieur",module,Chronopost_Chronorelais
"Monday","Monday",module,Chronopost_Chronorelais
"Tuesday","Tuesday",module,Chronopost_Chronorelais
"Wednesday","Wednesday",module,Chronopost_Chronorelais
"Thursday","Thursday",module,Chronopost_Chronorelais
"Friday","Friday",module,Chronopost_Chronorelais
"Saturday","Saturday",module,Chronopost_Chronorelais
"Sunday","Sunday",module,Chronopost_Chronorelais
"LF","LF",module,Chronopost_Chronorelais
"CR","CR",module,Chronopost_Chronorelais
"CR+LF","CR+LF",module,Chronopost_Chronorelais
"ISO-8859-1","ISO-8859-1",module,Chronopost_Chronorelais
